Release Order,Timeline Order,Type,Title,Release Month,Release Year,Timeline Month,Timeline Year,Notes
409,1,Flashback,Eternals,November,2021,,Beginning,The Celestials came into existence
110,2,Flashback,Thor: The Dark World,November,2013,,Beginning,The Dark Elves came from Darkness
130,3,Flashback,Guardians of the Galaxy,August,2014,,Beginning,The six singularities existed
227,4,Flashback,Guardians of the Galaxy 2,May,2017,,Beginning,Ego was born and formed into a planet
410,5,Flashback,Eternals,November,2021,,13.8B BC,Arishem creates the universe
131,6,Flashback,Guardians of the Galaxy,August,2014,,13.8B BC,The Infinity Stones are formed
132,7,Flashback,Eternals,November,2021,,4.54B BC,Arishem creates the solar system
411,8,Flashback,Eternals,November,2021,,1B BC,Tiamet's Celestial seed is planted in the earth; Deviants are sent to the earth
133,9,Flashback,Guardians of the Galaxy,August,2014,,80M BC,The Celestials use the infinity stones to mow down civilizations
264,10,Flashback,Black Panther,February,2018,,2.5M BC,Vibranium meteor(s) struck the earth
265,11,Flashback,Black Panther,February,2018,,28000 BC,The five tribes settled in Wakanda
494,12,Flashback,"Echo S1, E1",January,2024,,12000 BC,The origin of the Choctaw Nation
266,13,Flashback,Black Panther,February,2018,,8000 BC,The first Black Panther ingested the heart-shaped herb
412,14,Flashback,Eternals,November,2021,,5000 BC,Eternals arrive on earth in Messapotamia
111,15,Flashback,Thor: The Dark World,November,2013,,2988 BC,Malekith try to destroy the nine realms during the Convergence
399,16,Flashback,Shang Chi,September,2021,,2476 BC,The Dweller in Darkness attacks Ta Lo and is trapped behind the Dark Gate
247,17,Flashback,Thor: Ragnarok,November,2017,,659 BC,Odin and Hela subjugate the Nine Realms
413,18,Flashback,Eternals,November,2021,,575 BC,Battle of Babylon
333,19,Flashback,Captain Marvel,March,2019,,5 BC,The Kree and Skurll war begins
414,20,Flashback,Eternals,November,2021,,400,Sersi and Ikaris are married
248,21,Flashback,Thor: Ragnarok,November,2017,,950,"Hela is imprisoned, escapes, and the Valkyries battle Hela and are massacred"
80,22,Flashback,Thor,May,2011,,965,Odin battles the frost giants
447,23,Flashback,Thor: Love and Thunder,July,2022,,965,Frigga carries baby Thor into battle
448,24,Flashback,Thor: Love and Thunder,July,2022,,971,Young Thor runs through the forest
81,25,Flashback,Thor,May,2011,,975,Odin shares the battles with the frost giants with his sons
449,26,Flashback,Thor: Love and Thunder,July,2022,,983,Teenage Thor runs through the forest
134,27,Flashback,Guardians of the Galaxy,August,2014,,1014,The Kree and Nova Empire war begins
400,28,Flashback,Shang Chi,September,2021,,1015,Wenwu discovers the ten rings
495,29,Flashback,"Echo S1, E2",January,2024,,1200,Lowak is empowered by her ancestors
85,30,Flashback,Captain America: The First Avenger,July,2011,,1409,"Odin hides the Tesseract in Tønsberg, Norway"
415,31,Flashback,Eternals,November,2021,,1521,The Eternals go different ways
463,32,Flashback,Wakanda Forever,November,2022,,1571,Namor is born
509,33,Flashback,"Agatha All Along, S1, E7",September,2024,,1586,Lilia trains with her Master
464,34,Flashback,Wakanda Forever,November,2022,,1631,Namor buries his mother
375,35,Flashback,"WandaVision, S1, E8",January,2021,,1693,Agatha Harkness is put on trial
510,36,Flashback,"Agatha All Along, S1, E9",September,2024,,1750,Agatha gives birth to Nicky
511,37,Flashback,"Agatha All Along, S1, E9",September,2024,,1756,Nicky dies after helping Agatha kill several covens
496,38,Flashback,"Echo S1, E3",January,2024,,1800s,"Tuklo, a member of the Lighthorsemen, is empowered by her ancestors"
117,39,Flashback,Captain America: The Winter Soldier,April,2014,October,1936,Steve’s mother dies and Bucky expresses his friendship
86,40,Flashback,Captain America: The First Avenger,July,2011,November,1940,Johann Schmidt is injected with the Super Soldier Serum
87,41,MCU Movie,Captain America: The First Avenger,July,2011,March,1942,Opening scene with the Red Skull locating the Tesseract
441,42,Flashback,"Ms. Marvel, S1, E3",June,2022,July,1942,Aisha and the Clandestines find the bangle
442,43,Flashback,"Ms. Marvel, S1, E5",June,2022,July,1942,Aisha and Hasan meet
88,44,MCU Movie,Captain America: The First Avenger,July,2011,Jun - Mar,1943-1945,
1,45,MV - Movie,Captain America,February,1944,February,1944,
443,46,Flashback,"Ms. Marvel, S1, E5",June,2022,November,1944,"Aisha, now pregnant, walks with Hasan"
118,47,Flashback,Captain America: The Winter Soldier,April,2014,February,1945,Bucky Barnes is located by Soviet Armed Forces
416,48,Flashback,Eternals,November,2021,August,1945,Phastos mourns his involvement in Hiroshima
119,49,Flashback,Captain America: The Winter Soldier,April,2014,August,1945,"Operation Paperclip began, with S.H.I.E.L.D. recruiting German scientists"
444,50,Flashback,"Ms. Marvel, S1, E5",June,2022,November,1945,Aisha sings to young Sana
103,51,One Shot,Agent Carter,May,2013,March,1946,
138,52,ABC TV,Agent Carter S1,January,2015,Apr - May,1946,
120,53,Flashback,Captain America: The Winter Soldier,April,2014,January,1947,Bucky Barnes becomes the Winter Soldier
173,54,ABC TV,Agent Carter S2,January,2016,July,1947,
445,55,Flashback,"Ms. Marvel, S1, E5",June,2022,August,1947,Kamala travels back to the Partition of India and rescues her grandmother
216,56,Flashback - Netflix,"Iron Fist S1, E10",March,2017,?,1948,An earlier Iron Fist defends the passage to K’un-Lun
384,57,Flashback,"The Falcon and the Winter Soldier, S1",March,2021,December,1950,Isaiah Bradley is experimented upon and fights the Winter Soldier a few months later
121,58,Flashback,Captain America: The Winter Soldier,April,2014,June,1953,Peggy is interviewed about Steve Rogers by The Smithsonian
84,59,X-verse,X-Men: First Class,June,2011,October,1962,This movie is part of the original timeline and revised timeline
71,60,X-verse,X-Men Origins: Wolverine,May,2009,Mar - May,1973,Vietnam and Team X scenes
72,61,X-verse,X-Men Origins: Wolverine,May,2009,March,1979,
284,62,X-verse,Deadpool 2,May,2018,March,1979,Deadpool travels to the original timeline to kill the lame version of himself
40,63,X-verse,X-Men,July,2000,May,1994,
49,64,X-verse,X2: X-Men United,May,2003,May,1994,
58,65,X-verse,X-Men: Last Stand,May,2006,May,1999,
105,66,X-verse,The Wolverine,July,2013,December,2013,
244,67,X-verse,"The Gifted, S1",October,2017,Feb - Mar,2017,
311,68,X-verse,"The Gifted, S2",September,2018,Feb - Mar,2018,
127,69,X-verse,X-Men: Days of Future Past,May,2014,June,2023,This is the end of the original timeline
74,70,Flashback,Iron Man 2,May,2010,?,1963,Anton Vanko hired by Stark
75,71,Flashback,Iron Man 2,May,2010,June,1967,Anton Vanko deported by Stark
2,72,MV - Animated,"Spider-Man, S1 - S3",September,1967,September,1967,"1967-1970, 3 seasons, 52 episodes"
346,73,Flashback,Avengers: Endgame,April,2019,April,1970,"We learn about Howard Stark, Hank Pym, Peggy Carter and Jarvis during the time heist"
497,74,Flashback,"Echo S1, E4",January,2024,June,1970,"Taloa is born, using her healing powers to save her mother in the process"
391,75,Flashback,"Loki, S1, E1",June,2021,November,1971,Loki loses a bet and has to hijack a plane
334,76,Flashback,Captain Marvel,March,2019,February,1972,Carol Danvers looking up at the stars with her brother
335,77,Flashback,Captain Marvel,March,2019,February,1972,Carol Danvers getting up after a tumble on the beach
122,78,Flashback,Captain America: The Winter Soldier,April,2014,?,1972,Arnim Zola’s consciousness is saved before his death
128,79,X-verse,X-Men: Days of Future Past,May,2014,January,1973,This is the start of the revised timeline
76,80,Flashback,Iron Man 2,May,2010,September,1973,Howard Stark films the promo for the 1974 Stark Expo
139,81,Flashback - Netflix,"Daredevil S1, E8",April,2015,November,1973,Fisk kills his father
3,82,MV - Show,"The Amazing Spider-Man, S1 - S2",September,1977,September,1977,"1977-1979, 2 seasons, 13 episodes"
4,83,MV - Show,"The Incredible Hulk, S1 - S5",November,1977,November,1977,"1977-1982, 5 seasons, 80 episodes"
336,84,Flashback,Captain Marvel,March,2019,January,1978,Carol Danvers getting up after a bicycle crash
337,85,Flashback,Captain Marvel,March,2019,January,1978,Carol Danvers getting injured during go-kart racing
338,86,Flashback,Captain Marvel,March,2019,January,1978,Carol Danvers plays baseball after stumbling during a pitch
5,87,MV - Show,"Supaidāman, S1",May,1978,May,1978,"1978-1979, 1 season, 41 episodes"
6,88,MV - Movie,Supaidāman,July,1978,July,1978,Happens between episodes 10 and 11 of the series
7,89,MV - Movie,Doctor Strange,September,1978,September,1978,
228,90,Flashback,Guardians of the Galaxy 2,May,2017,November,1978,Ego visits earth and meets Meredith Quill
8,91,MV - Movie,Captain America,January,1979,January,1979,
9,92,MV - Animated,"Spider-Woman, S1",September,1979,September,1979,"1979-1980, 1 season, 16 episodes"
10,93,MV - Movie,Captain America II: Death Too Soon,November,1979,November,1979,
229,94,Flashback,Guardians of the Galaxy 2,May,2017,Jan - Mar,1980,"Ego spends time with Meridith Quill, eventually implanting her with cancer"
211,95,X-verse,"Legion, S1 ",February,2017,June,1979,Happens in a different universe than the other X-verse entries
280,96,X-verse,"Legion, S2",April,2018,June,1980,Happens in a different universe than the other X-verse entries
359,97,X-verse,"Legion, S3",June,2019,August,1980,Happens in a different universe than the other X-verse entries
11,98,MV - Animated,"Spider-Man, S1  ",September,1981,September,1981,"1981-1982, 1 season, 26 episodes"
12,99,MV - Animated,"Spider-Man and his Amazing Friends, S1 - S3",September,1981,September,1981,"1981-1983, 3 seasons, 24 episodes"
13,100,MV - Animated,"The Incredible Hulk, S1",September,1982,September,1982,"1982-1983, 1 season, 13 episodes"
385,101,Flashback,"The Falcon and the Winter Soldier, S1",March,2021,November,1982,Isaiah Bradley fakes his death and escapes prison
14,102,MV - Game,Spider-Man,N/A,1982,N/A,1982,Atari 2600
184,103,X-verse,X-Men: Apocalypse,May,2016,May,1983,Revised timeline after Days of Future Past
313,104,Flashback - Netflix,"Daredevil S3, E9",October,2018,March,1984,Maggie Grace meets Jack Murdock
339,105,Flashback,Captain Marvel,March,2019,July,1984,"Carol Danvers takes part in Air Force training exercises, jumping from rope to rope"
287,106,Flashback - Netflix,"Luke Cage S2, E11",June,2018,February,1985,The Stokes and McIver confrontation over the Bushmaster Rum and Harlem's Paradise
314,107,Flashback - Netflix,"Daredevil S3, E9",October,2018,April,1985,Maggie Grace suffers from post-partum stress
15,108,MV - Movie,Howard the Duck,August,1986,September,1985,
163,109,Flashback - Netflix,"Jessica Jones S1, E8",November,2015,October,1985,Young Kilgrave is experimented upon by his parents
187,110,Flashback - Netflix,"Luke Cage S1, E7",September,2016,January,1987,Cornell witnesses the wrath of Mabel regarding the sale of drugs
288,111,Flashback - Netflix,"Luke Cage S2, E11",June,2018,March,1987,Bushmaster is the victim of revenge and is healed with Nightshade
188,112,Flashback - Netflix,"Luke Cage S1, E7",September,2016,April,1987,Peter Stokes betrays Mable and is killed by Cornell
295,113,Flashback,Ant-man and the Wasp,July,2018,July,1987,Hank and Janet’s ill-fated mission
155,114,Flashback,Ant-Man,July,2015,July,1987,Hank and Janet’s ill-fated mission
230,115,Flashback,Guardians of the Galaxy 2,May,2017,July,1987,Meredith and Peter Quill spend time together
189,116,Flashback - Netflix,"Luke Cage S1, E2",September,2016,February,1988,"Pops and his ""crew"" are photographed"
16,117,MV - TV Movie,The Incredible Hulk Returns,May,1988,May,1988,
18,118,MV - DP&W,The Punisher,October,1989,August,1988,
135,119,Flashback,Guardians of the Galaxy,August,2014,Nov,1988,Peter Quill is taken from earth by Yondu
296,120,Flashback,Ant-man and the Wasp,July,2018,May,1989,Ava's parents are killed in an explosion
17,121,MV - TV Movie,The Trial of the Incredible Hulk,May,1989,May,1989,
156,122,Flashback,Ant-Man,July,2015,June,1989,Hank Pym resigns from S.H.I.E.L.D
340,123,Flashback,Captain Marvel,March,2019,June,1989,Carol Danvers absorbs the Tesseract energy
231,124,Flashback,Guardians of the Galaxy 2,May,2017,September,1989,Yondu teaches Peter Quill how to use a blaster
467,125,Flashback,Guardians of the Galaxy Holiday Special,November,2022,Dec 25,1989,Peter Quill gets his blasters for Christmas
19,126,MV - TV Movie,The Death of the Incredible Hulk,February,1990,February,1990,
190,127,Flashback - Netflix,"Luke Cage S1, E10",September,2016,April,1990,Carl Lucas walks through his fathers church as his mother confronts his father's mistress
20,128,MV - Movie,Captain America,December,1990,December,1990,
22,129,MV - Animated,"X-Men: The Animated Series, S1",October,1992,Apr - Jan,1991-1993,"1992-1997, 5 seasons, 76 episodes"
21,130,MV - TV Movie,Power Pack,August,1991,August,1991,
180,131,Flashback,Captain America: Civil War,May,2016,December,1991,Howard and Maria Stark are killed by the Winter Soldier
65,132,Flashback,Iron Man,May,2008,December,1991,Howard and Maria Stark are killed and Stane becomes CEO of Stark Industries
66,133,Flashback,Iron Man,May,2008,January,1992,Tony Stark is appointed CEO of Stark Industries
267,134,Flashback,Black Panther,February,2018,January,1992,T'Chaka contronts and eventually kills N'Jobu for treachery
323,135,Flashback - Netflix,"Punisher S2, E11",January,2019,February,1992,"Krista Dumant's father kills himself, jumping out a window with Krista"
353,136,X-verse,X-Men: Dark Phoenix,June,2019,September,1992,Revised timeline after Days of Future Past
24,137,MV - Movie,Fantastic Four (1994),May,1994,September,1992,
23,138,MV - Animated,"X-Men: The Animated Series, S2",October,1993,Jan - Mar,1993,"1992-1997, 5 seasons, 76 episodes"
140,139,Flashback - Netflix,"Daredevil S1, E2",April,2015,April,1994,Young Matt helps stitch his fathers wounds
141,140,Flashback - Netflix,"Daredevil S1, E2",April,2015,May,1994,Matt is injured and loses his sight
28,141,MV - Animated,"Spider-Man: The Animated Series, S1",November,1994,May - Jan,1994 - 1995,"1994-1998, 5 seasons, 65 episodes"
25,142,MV - Animated,"X-Men: The Animated Series, S3",July,1994,Aug - Mar,1994 - 1995,"1992-1997, 5 seasons, 76 episodes"
26,143,MV - Animated,"Iron Man: The Animated Series, S1 - S2",September,1994,September,1994,"1994-1996, 2 seasons, 26 episodes"
27,144,MV - Animated,"Fantastic Four: The Animated Series, S1 - S2",September,1994,September,1994,"1994-1996, 2 seasons, 26 episodes"
142,145,Flashback - Netflix,"Daredevil S1, E2",April,2015,October,1994,Jack encourages Matt to keep studying
143,146,Flashback - Netflix,"Daredevil S1, E2",April,2015,November,1994,Jack Murdock decides not to throw his boxing fight and is killed afterwards
144,147,Flashback - Netflix,"Daredevil S1, E7",April,2015,Jan - Jul,1995,Stick briefly trains young Matt Murdock
30,148,MV - Animated,"Spider-Man: The Animated Series, S2",September,1995,Mar - Apr,1995,"1994-1998, 5 seasons, 65 episodes"
29,149,MV - Animated,"X-Men: The Animated Series, S4",May,1995,Mar - Jan,1995 - 1996,"1992-1997, 5 seasons, 76 episodes"
32,150,MV - Animated,"Spider-Man: The Animated Series, S3",April,1996,Apr - Jun,1995 - 1996,"1994-1998, 5 seasons, 65 episodes"
341,151,MCU Movie,Captain Marvel,March,2019,June,1995,First post credit scene happens after the post credits scene in “Avengers: Infinity War”
393,152,Flashback,Black Widow,July,2021,September,1995,Natasha and Yelena are sent to the Red Room
489,153,Flashback,The Marvels,November,2023,September,1995,Carol destroys the Supreme Intelligence
31,154,MV - Movie,Generation X,February,1996,February,1996,
33,155,MV - Animated,"X-Men: The Animated Series, S5",September,1996,Feb - Nov,1996,"1992-1997, 5 seasons, 76 episodes"
401,156,Flashback,Shang Chi,September,2021,April,1996,Wenwu meets Ying Li
176,157,Flashback - Netflix,"Daredevil S2, E12",March,2016,June,1996,Stick briefly trains Elektra before giving her over to foster parents
35,158,MV - Animated,"Spider-Man: The Animated Series, S4",February,1997,Jun - Nov,1996,"1994-1998, 5 seasons, 65 episodes"
432,159,Flashback,"Moon Knight, S1, E5",March,2022,September,1996,Marc Spector’s brother Randall drowns in a cave
281,160,Flashback,Avengers: Infinity War,April,2018,September,1996,Thanos wipes out half of Gamora's home world
34,161,MV - Animated,"The Incredible Hulk: The Animated Series, S1 - S2",September,1996,September,1996,"1996-1997, 2 seasons, 21 episodes"
191,162,Flashback - Netflix,"Luke Cage S1, E13",September,2016,November,1996,Willis Stryker trains Carl Lucas in boxing
36,163,MV - Animated,"Spider-Man: The Animated Series, S5",September,1997,Nov - Dec,1996,"1994-1998, 5 seasons, 65 episodes"
192,164,Flashback - Netflix,"Luke Cage S1, E13",September,2016,January,1997,Willis Stryker cheers on Carl Lucas in his boxing victory
504,165,MV - Comics,"X-Men 97, Issues 1-4",March,2024,February,1997,4 issues
433,166,Flashback,"Moon Knight, S1, E5",March,2022,March,1997,Marc’s mother refuses to attend his 10th b-day party
193,167,Flashback - Netflix,"Luke Cage S1, E10",September,2016,April,1997,Willis Stryker and Carl Lucas are arrested for auto theft
37,168,MV - TV Movie,Nick Fury: Agent of S.H.I.E.L.D. ,May,1998,April,1997,
354,169,Flashback - Netflix,"Jessica Jones S3, E11",June,2019,June,1997,Trish is forced into acting at age 12 by her mother
503,170,MV - Animated,"X-Men 97, S1",March,2024,"Sep - Nov, May",1997-1998,"2024-2024, 1 season, 10 episodes"
480,171,Flashback,"Secret Invasion, S1, E2",June,2023,November,1997,Nick Fury makes a deal with the Skrulls; they help him and he finds them a new home
481,172,Flashback,"Secret Invasion, S1, E3",June,2023,December,1998,Fury and Varaa begin their secret relationship
38,173,MV - DP&W,Blade,August,1998,April,1998,
315,174,Flashback - Netflix,"Daredevil S3, E9",October,2018,December,1998,Father Lantom shares wisdom with young Matt 
434,175,Flashback,"Moon Knight, S1, E5",March,2022,March,1999,Marc is abused by his mother on his 12th b-day and the Steven Grant persona forms
376,176,Flashback,"WandaVision, S1, E8",January,2021,March,1999,Wanda and Pietro's parents are killed
402,177,Flashback,Shang Chi,September,2021,October,1999,4-month old Shang Chi is held in Wenwu's arms
39,178,MV - Animated,"Spider-Man Unlimited, S1",October,1999,October,1999,"1999-2001, 1 season, 13 episodes"
100,179,Flashback,Iron Man 3,May,2013,December,1999,"Tony meets Maya, Yinsen, and Killian"
46,180,MV - DP&W,Blade II,March,2002,April,2000,
164,181,Flashback - Netflix,"Jessica Jones S1, E8",November,2015,April,2000,The Jones family crash
272,182,Flashback - Netflix,"Jessica Jones S2, E1 & E5",March,2018,April,2000,Jessica is experimented upon by Malis
273,183,Flashback - Netflix,"Jessica Jones S2, E7",March,2018,April,2000,Jessica's mother wakes up and accidently injures Jessica
274,184,Flashback - Netflix,"Jessica Jones S2, E11",March,2018,May,2000,Jessica wakes up from her coma and is adopted by the Walker family
275,185,Flashback - Netflix,"Jessica Jones S2, E7",March,2018,May,2000,"Jessica leaves her house for the last time, unable to find her journal"
276,186,Flashback - Netflix,"Jessica Jones S2, E11",March,2018,June,2000,Jessica protects Trish from her abusive mother
41,187,MV - Game,Spider-Man,September,2000,September,2000,"Playstation, Game Boy Color, Nintendo 64, Dreamcast, Microsoft Windows, Mac OS X"
217,188,Flashback - Netflix,"Iron Fist S1, E1",March,2017,March,2001,The Rand’s and Meacham’s film a commercial together
42,189,MV - Game,Spider-Man 2: The Sinister Six,May,2001,May,2001,Game Boy Color
218,190,Flashback - Netflix,"Iron Fist S1, E1",March,2017,July,2001,"Danny spends time with Ward and Joy, and Ward picks on Danny"
43,191,MV - Game,Spider-Man: Mysterio’s Menace,September,2001,September,2001,Game Boy Advance
219,192,Flashback - Netflix,"Iron Fist S1, E1 and E2 and E8",March,2017,October,2001,"The tragic Rand plane crash, killing Danny's parents and leading to him being discovered by monks"
44,193,MV - Show,"Mutant X, S1 - S3",October,2001,October,2001,"This show isn't tied to the X-men universe, but was produced by Marvel Entertainment"
45,194,MV - Game,Spider-Man 2: Enter Electro,October,2001,October,2001,Playstation 
220,195,Flashback - Netflix,"Iron Fist S1, E3",March,2017,December,2001,Danny is beaten by the monks to build endurance 
47,196,Sony Movie,Spider-Man,May,2002,Apr - Dec,2002,
251,197,Flashback - Netflix,"Punisher S1, E12",November,2017,October,2002,Frank and Maria Castle are married
52,198,MV - DP&W,The Punisher,April,2004,Mar - Sep,2003,
301,199,Flashback - Netflix,"Iron Fist S2, E10",September,2018,May,2003,Davos brings Danny warm melange to drink
302,200,Flashback - Netflix,"Iron Fist S2, E10",September,2018,June,2003,Danny shows Davos how to build a paper airplane 
502,201,Sony Movie,Madame Web,February,2024,June,2003,
51,202,MV - Movie,Hulk,June,2003,June,2003,
48,203,MV - DP&W,Daredevil,February,2003,August,2003,
316,204,Flashback - Netflix,"Daredevil S3, E10",October,2018,March,2004,The tragic death of Karen Page’s brother
53,205,Sony Movie,Spider-Man 2,June,2004,Mar - Apr,2004,
386,206,Flashback,"The Falcon and the Winter Soldier, S1",March,2021,May,2004,RJ Nakajima is killed by the Winter Soldier
50,207,MV - Game,Hulk (game),May,2003,June,2004,"GameCube, PlayStation 2, Xbox, Windows"
303,208,Flashback - Netflix,"Iron Fist S2, E10",September,2018,June,2004,Davos mother punishes him for not having a killer instinct
57,209,MV - DP&W,Fantastic Four,July,2005,Jul - Aug,2004,
277,210,Flashback - Netflix,"Jessica Jones S2, E7",March,2018,April,2005,Jessica's mother wakes up in the clinic and tries (and fails) to reacquaint with Jessica
56,211,MV - Movie,Man-Thing,April,2005,May,2005,
278,212,Flashback - Netflix,"Jessica Jones S2, E11",March,2018,August,2005,Jessica's mother and Karl Malis start to fall in love
62,213,Sony Movie,Spider-Man 3,May,2007,Jun - July,2005,
55,214,MV - DP&W,Elektra,January,2005,December,2005,
68,215,Flashback,Incredible Hulk,June,2008,April,2006,Bruce Banner becomes The Hulk
54,216,MV - DP&W,Blade: Trinity,December,2004,May,2006,
59,217,MV - DP&W,"Blade: The Series, S1",June,2006,May - Aug,2006,
403,218,Flashback,Shang Chi,September,2021,January,2007,Ying Li is killed and Shang Chi's training to become a killer begins
324,219,Flashback - Netflix,"Punisher S2, E10",January,2019,February,2007,John Pilgrim confesses his past life
145,220,Flashback - Netflix,"Daredevil S1, E4",April,2015,March,2007,Anatoly and Vladimir escape prison in Siberia
473,221,Flashback,Guardians of the Galaxy Vol 3,May,2023,June,2007,Rocket taken from his cage
474,222,Flashback,Guardians of the Galaxy Vol 3,May,2023,June,2007,"After a few weeks of surgury, Rocket is returned to his cage"
498,223,Flashback,"Echo S1, E1",January,2024,June,2007,Maya's mother is killed in an accident and her father moves to New York with her
60,224,MV - Movie,Ghost Rider,February,2007,July,2007,
63,225,MV - DP&W,Fanastic Four: Rise of the Silver Surfer,June,2007,August,2007,
61,226,MV - Game,Ghost Rider (Game),February,2007,August,2007,"PlayStation 2, PlayStation Portable, Game Boy Advance"
420,227,Flashback,"Hawkeye, S1, E4",November,2021,September,2007,Maya Lopez learns karate and meets her “uncle”
475,228,Flashback,Guardians of the Galaxy Vol 3,May,2023,September,2007,Rocket plays with his friends
476,229,Flashback,Guardians of the Galaxy Vol 3,May,2023,November,2007,Rocket is halfway through is training; Rocket fixes the problem with Batch 90
394,230,Flashback,Black Widow,July,2021,January,2008,Black Widow’s infamous Budapest operation
67,231,MCU Movie,Iron Man,May,2008,Feb - May,2008,
64,232,MV - Animated,"The Spectacular Spider-Man, S1 - S2",March,2008,March,2008,"2008-2009, 2 seasons, 26 episodes"
360,233,Flashback,Spider-man: Far From Home,July,2019,May,2008,William Ginter Riva is chewed out by Stane
77,234,Flashback,Iron Man 2,May,2010,May,2008,Whiplash’s father dies and he plots his revenge on Tony
499,235,Flashback,"Echo S1, E4",January,2024,June,2008,Kingpin beats up an ice cream vendor for making fun of young Echo
477,236,Flashback,Guardians of the Galaxy Vol 3,May,2023,August,2008,"After the success of Batch 92, Rocket's brain is to be removed; Rocket Escapes"
70,237,MV - DP&W,Punisher: War Zone,December,2008,October,2008,
123,238,Flashback,Captain America: The Winter Soldier,April,2014,April,2009,Black Widow encounters the Winter Soldier
470,239,Flashback,Ant-Man and the Wasp: Quantumania,February,2023,July,2009,Kang the Conqueror enters the Quantum Realm and meets Janet
73,240,MV - Animated,"The Super-Hero Squad Show, S1 - S2",September,2009,September,2009,"2009-2010, 2 seasons, 52 episodes"
78,241,MCU Movie,Iron Man 2,May,2010,May - Jun,2010,
69,242,MCU Movie,Incredible Hulk,June,2008,Apr – Jul,2010,Post credit scene happens during “The Consultant”
90,243,One Shot,A Funny Thing Happened on the Way to Thor’s Hammer,July,2011,May,2010,
82,244,MCU Movie,Thor,May,2011,May – Jun,2010,
83,245,One Shot,The Consultant,May,2011,July,2010,
146,246,Flashback - Netflix,"Daredevil S1, E7",April,2015,August,2010,Matt and Foggy meet at the start of Law School
79,247,MV - Game,Spider-Man: Shattered Dimensions,September,2010,September,2010,"Playstation 3, Xbox 360, Wii, Nintendo DS, Nintendo 3DS"
89,248,Post-Credit,Captain America: The First Avenger,July,2011,October,2011,Prologue and epilogue
91,249,MV - Game,Spider-Man: Edge of Time,October,2011,October,2011,"Playstation 3, Xbox 360, Wii, Nintendo DS, Nintendo 3DS"
325,250,Flashback - Netflix,"Punisher S2, E10",January,2019,November,2011,"Russo and Castle play ""down the line"" during their time with the Marines"
304,251,Flashback - Netflix,"Iron Fist S2, E8",September,2018,November,2011,Mary Walker is rescued from a Sokovian prison 
93,252,MV - Animated,"Ultimate Spider-Man, S1 - S4",April,2012,April,2012,"2012-2017, 4 seasons, 104 episodes"
94,253,MCU Movie,Avengers,May,2012,May,2012,
421,254,Flashback,"Hawkeye, S1, E1",November,2021,May,2012,Kate Bishop is saved by Hawkeye during the Battle of New York
347,255,Flashback,Avengers: Endgame,April,2019,May,2012,"We learn about the Ancient One, the S.T.R.I.K.E. team and Alexander Pierce during the time heist"
112,256,MCU Movie,Thor: The Dark World,November,2013,May,2012,Opening scene with Loki being taken to Asgard
235,257,Flashback,Spider-man: Homecoming,July,2017,May,2012,Damage Control takes over the clean-up in New York
95,258,One Shot,Item 47,May,2012,May,2012,
238,259,Post-Credit,Spider-man: Homecoming,July,2017,June,2012,Captain America films his Fitness Challenge Videos
482,260,Flashback,"Secret Invasion, S1, E4",June,2023,June,2012,Fury and Varaa's relationship deepens
153,261,Flashback,"WHIH Newsfront, S1",July,2015,July,2012,Footage from Scott Lang's break-in at Vistacorp
297,262,Flashback,Ant-man and the Wasp,July,2018,July,2012,"Luis retells the story of how he met his cellmate, Scott Lang"
471,263,Flashback,Ant-Man and the Wasp: Quantumania,February,2023,July,2012,"Kang and Janet fix the core, but Janet sabotages it after finding out Kang's motives"
98,264,MV - DP&W,Punisher: Dirty Laundry,July,2012,August,2012,
